Date;Jour Semaine;Horaire Type;Indice Semaine;Indice Jour Semaine;Tranche Horaire;Nombre de Montées;Nombre de Descentes;Nombre de Stops
2024-06-01;6-Samedi;SAMEDI;22;6;15;44041.68999999994;43832.1200000001;9827
2024-06-01;6-Samedi;SAMEDI;22;6;18;39263.52999999993;39978.49000000008;9391
2024-06-01;6-Samedi;SAMEDI;22;6;11;34730.77999999996;33900.70000000004;7981
2024-06-01;6-Samedi;SAMEDI;22;6;10;29454.55999999998;28873.67000000006;7659
2024-06-01;6-Samedi;SAMEDI;22;6;21;17996.90999999999;18187.10000000002;5922
2024-06-01;6-Samedi;SAMEDI;22;6;08;17393.35000000001;16324.68;7330
2024-06-01;6-Samedi;SAMEDI;22;6;22;15541.65;15991.94999999999;5722
2024-06-01;6-Samedi;SAMEDI;22;6;23;15304.45999999998;15617.61999999999;5737
2024-06-01;6-Samedi;SAMEDI;22;6;00;8987.449999999999;10134.96;4995
2024-06-01;6-Samedi;SAMEDI;22;6;02;2512.78;2802.609999999998;2050
2024-06-02;7-Dimanche;DIMANCHE;22;7;17;22244.63999999996;21916.93000000002;6634
2024-06-02;7-Dimanche;DIMANCHE;22;7;16;20613.35999999998;20519.09000000001;6626
2024-06-02;7-Dimanche;DIMANCHE;22;7;14;19868.2999999999;19771.03000000003;6611
2024-06-02;7-Dimanche;DIMANCHE;22;7;13;19426.10999999997;19776.05999999999;6459
2024-06-02;7-Dimanche;DIMANCHE;22;7;19;18007.29999999997;18416.58999999997;6362
2024-06-02;7-Dimanche;DIMANCHE;22;7;11;17174.54999999999;16891.80000000002;5645
2024-06-02;7-Dimanche;DIMANCHE;22;7;22;8812.680000000004;9258.160000000014;4652
2024-06-02;7-Dimanche;DIMANCHE;22;7;07;5148.69000000001;5006.629999999992;4732
2024-06-03;1-Lundi;NORMAL;23;1;17;72368.22999999985;73003.85000000012;15236
2024-06-03;1-Lundi;NORMAL;23;1;08;63963.70000000006;66998.18999999997;14758
2024-06-03;1-Lundi;NORMAL;23;1;14;39298.85000000002;39175.59000000005;11011
2024-06-03;1-Lundi;NORMAL;23;1;09;38276.94;41201.14999999999;12642
2024-06-03;1-Lundi;NORMAL;23;1;20;21499.87999999988;23188.73000000003;9539
2024-06-03;1-Lundi;NORMAL;23;1;22;11421.27;11957.67000000002;5758
2024-06-03;1-Lundi;NORMAL;23;1;04;892.6500000000004;595.03;985
2024-06-04;2-Mardi;NORMAL;23;2;17;75751.19000000018;75304.79999999999;15051
2024-06-04;2-Mardi;NORMAL;23;2;16;69161.41999999984;66054.14999999989;14234
2024-06-04;2-Mardi;NORMAL;23;2;08;67235.8500000001;69929.10000000018;14660
2024-06-04;2-Mardi;NORMAL;23;2;07;53267.97000000007;46396.68000000008;14395
2024-06-04;2-Mardi;NORMAL;23;2;11;40433.71999999995;38733.00000000005;10888
2024-06-04;2-Mardi;NORMAL;23;2;20;23599.23;25207.08;9491
2024-06-04;2-Mardi;NORMAL;23;2;06;18738.65000000002;15743.92999999999;10075
2024-06-04;2-Mardi;NORMAL;23;2;21;17433.22;17961.09000000004;6711
2024-06-04;2-Mardi;NORMAL;23;2;23;7943.210000000006;8735.970000000001;5673
2024-06-04;2-Mardi;NORMAL;23;2;;10.76;22.53;3
2024-06-05;3-Mercredi;NORMAL;23;3;17;72953.61000000003;72016.3600000001;14904
2024-06-05;3-Mercredi;NORMAL;23;3;18;61089.84999999978;64140.80999999979;15122
2024-06-05;3-Mercredi;NORMAL;23;3;07;51132.34000000001;44762.46999999988;14426
2024-06-05;3-Mercredi;NORMAL;23;3;13;49984.46999999994;49884.32999999989;11072
2024-06-05;3-Mercredi;NORMAL;23;3;05;7525.719999999998;6099.760000000013;6094
2024-06-05;3-Mercredi;NORMAL;23;3;01;350.6900000000001;555.8599999999998;431
2024-06-05;3-Mercredi;NORMAL;23;3;-;19.0;19.0;35
2024-06-05;3-Mercredi;NORMAL;23;3;;0.0;0.0;1
2024-06-06;4-Jeudi;NORMAL;23;4;16;69200.67000000013;65221.08999999984;14226
2024-06-06;4-Jeudi;NORMAL;23;4;08;67077.59000000019;69711.44999999984;14760
2024-06-06;4-Jeudi;NORMAL;23;4;15;52333.1699999999;51333.57000000004;11351
2024-06-06;4-Jeudi;NORMAL;23;4;10;37191.03999999996;37353.02999999997;10932
2024-06-06;4-Jeudi;NORMAL;23;4;06;18554.94000000002;15732.00000000003;10119
2024-06-06;4-Jeudi;NORMAL;23;4;22;14315.77999999998;14937.14000000001;5804
2024-06-06;4-Jeudi;NORMAL;23;4;23;8598.48;9488.65000000001;5751
2024-06-06;4-Jeudi;NORMAL;23;4;-;14.0;14.0;28
2024-06-07;5-Vendredi;NORMAL;23;5;08;59964.55000000001;61651.85000000013;14815
2024-06-07;5-Vendredi;NORMAL;23;5;12;50252.72999999979;50356.68000000001;11492
2024-06-07;5-Vendredi;NORMAL;23;5;19;44147.52999999998;46880.56999999999;12815
2024-06-07;5-Vendredi;NORMAL;23;5;11;42229.39000000003;40792.53999999994;10913
2024-06-07;5-Vendredi;NORMAL;23;5;09;40009.77000000012;42078.8299999999;12540
2024-06-07;5-Vendredi;NORMAL;23;5;10;36241.12999999999;36346.2900000001;10939
2024-06-07;5-Vendredi;NORMAL;23;5;20;26923.84999999995;28936.55999999993;9347
2024-06-07;5-Vendredi;NORMAL;23;5;21;18862.94999999999;19796.19000000001;6318
2024-06-07;5-Vendredi;NORMAL;23;5;01;3851.500000000007;4182.22999999999;2312
2024-06-07;5-Vendredi;NORMAL;23;5;03;971.2099999999994;1215.35;1272
2024-06-07;5-Vendredi;NORMAL;23;5;04;911.1399999999999;709.17;1020
2024-06-08;6-Samedi;SAMEDI;23;6;16;42323.34999999994;42711.63000000016;9986
2024-06-08;6-Samedi;SAMEDI;23;6;15;41557.87999999998;41723.69000000011;9784
2024-06-08;6-Samedi;SAMEDI;23;6;14;41138.03000000004;40348.79999999996;9460
2024-06-08;6-Samedi;SAMEDI;23;6;18;40300.16000000017;41244.12999999992;9972
2024-06-08;6-Samedi;SAMEDI;23;6;08;18516.64000000003;17078.80999999998;7505
2024-06-08;6-Samedi;SAMEDI;23;6;23;13509.76999999999;13822.40000000004;5704
2024-06-08;6-Samedi;SAMEDI;23;6;07;9880.120000000008;8953.970000000003;7084
2024-06-08;6-Samedi;SAMEDI;23;6;06;5591.620000000014;5218.650000000012;6275
2024-06-09;7-Dimanche;DIMANCHE;23;7;17;32639.68999999994;31993.47000000008;6944
2024-06-09;7-Dimanche;DIMANCHE;23;7;18;22123.61;23960.82000000001;6762
2024-06-09;7-Dimanche;DIMANCHE;23;7;11;20044.84000000002;19491.20000000004;5728
2024-06-09;7-Dimanche;DIMANCHE;23;7;19;15993.18999999996;16941.32000000007;6238
2024-06-09;7-Dimanche;DIMANCHE;23;7;09;15098.38999999996;14322.14;5660
2024-06-09;7-Dimanche;DIMANCHE;23;7;20;11923.36999999995;12376.43000000003;5634
2024-06-09;7-Dimanche;DIMANCHE;23;7;21;10034.88000000001;10234.01999999999;5026
2024-06-09;7-Dimanche;DIMANCHE;23;7;07;6073.369999999999;5613.450000000003;4931
2024-06-09;7-Dimanche;DIMANCHE;23;7;00;2191.350000000004;2623.199999999996;3888
2024-06-09;7-Dimanche;DIMANCHE;23;7;04;978.7700000000002;707.2500000000003;732
2024-06-10;1-Lundi;NORMAL;24;1;07;53916.5399999998;47737.18000000009;14429
2024-06-10;1-Lundi;NORMAL;24;1;13;47798.92999999982;47677.25000000003;11303
2024-06-10;1-Lundi;NORMAL;24;1;12;46663.41;46587.90999999986;11458
2024-06-10;1-Lundi;NORMAL;24;1;11;38988.28999999998;37702.63000000006;10979
2024-06-10;1-Lundi;NORMAL;24;1;19;36006.90999999992;39581.92000000006;13040
2024-06-10;1-Lundi;NORMAL;24;1;06;19003.79999999995;16058.13;9997
2024-06-10;1-Lundi;NORMAL;24;1;01;151.65;275.26;402
2024-06-11;2-Mardi;NORMAL;24;2;17;72233.03000000014;71761.34999999987;15180
2024-06-11;2-Mardi;NORMAL;24;2;16;68809.34000000001;66131.05000000019;14309
2024-06-11;2-Mardi;NORMAL;24;2;07;52883.21000000002;45781.34999999995;14487
2024-06-11;2-Mardi;NORMAL;24;2;15;50566.43999999998;49333.48999999995;11439
2024-06-11;2-Mardi;NORMAL;24;2;09;40855.96999999989;43683.65000000006;12308
2024-06-11;2-Mardi;NORMAL;24;2;19;37390.03999999999;40333.80000000005;12495
2024-06-11;2-Mardi;NORMAL;24;2;10;37080.10000000007;37478.46000000004;10909
2024-06-11;2-Mardi;NORMAL;24;2;06;18389.25999999998;15484.07000000001;10057
2024-06-11;2-Mardi;NORMAL;24;2;05;7230.31;5776.670000000006;6108
2024-06-11;2-Mardi;NORMAL;24;2;23;6646.450000000006;7426.280000000017;5762
2024-06-11;2-Mardi;NORMAL;24;2;04;748.2;519.2400000000001;979
2024-06-11;2-Mardi;NORMAL;24;2;-;23.0;36.0;44
2024-06-11;2-Mardi;NORMAL;24;2;;0.0;0.0;2
2024-06-12;3-Mercredi;NORMAL;24;3;18;59921.36000000012;62902.35;15028
2024-06-12;3-Mercredi;NORMAL;24;3;13;48767.59000000012;48811.45;11192
2024-06-12;3-Mercredi;NORMAL;24;3;10;37024.40000000014;37412.56000000011;10925
2024-06-12;3-Mercredi;NORMAL;24;3;20;23405.48999999997;25148.07999999997;9459
2024-06-12;3-Mercredi;NORMAL;24;3;06;17796.9;15186.80999999994;10111
2024-06-12;3-Mercredi;NORMAL;24;3;22;14340.61999999997;14971.97000000004;5786
2024-06-12;3-Mercredi;NORMAL;24;3;23;8632.190000000002;9650.530000000012;5745
2024-06-12;3-Mercredi;NORMAL;24;3;00;3793.090000000006;4532.869999999999;4743
2024-06-12;3-Mercredi;NORMAL;24;3;04;844.7200000000006;609.56;985
2024-06-12;3-Mercredi;NORMAL;24;3;-;28.0;32.0;47
2024-06-13;4-Jeudi;NORMAL;24;4;17;74576.44;74556.52000000012;15211
2024-06-13;4-Jeudi;NORMAL;24;4;16;68541.74000000017;65400.47999999992;14403
2024-06-13;4-Jeudi;NORMAL;24;4;15;52276.17999999992;50832.60999999999;11462
2024-06-13;4-Jeudi;NORMAL;24;4;13;50075.95000000005;49837.75000000007;11342
2024-06-13;4-Jeudi;NORMAL;24;4;12;48242.89999999998;48206.63000000006;11401
2024-06-13;4-Jeudi;NORMAL;24;4;19;41091.73999999996;44600.75000000003;13016
2024-06-13;4-Jeudi;NORMAL;24;4;10;36254.07999999994;36764.03999999995;10967
2024-06-13;4-Jeudi;NORMAL;24;4;21;20578.12999999997;21244.74000000003;6713
2024-06-13;4-Jeudi;NORMAL;24;4;06;18355.87999999999;15742.78000000001;10067
2024-06-13;4-Jeudi;NORMAL;24;4;05;7541.300000000014;6020.889999999994;6112
2024-06-13;4-Jeudi;NORMAL;24;4;01;455.17;625.9299999999996;432
2024-06-13;4-Jeudi;NORMAL;24;4;;0.0;4.99;1
2024-06-14;5-Vendredi;NORMAL;24;5;17;63479.70999999966;65159.44999999996;14120
2024-06-14;5-Vendredi;NORMAL;24;5;08;60191.62999999999;62366.51999999997;14564
2024-06-14;5-Vendredi;NORMAL;24;5;19;36603.72999999997;38805.70999999995;10872
2024-06-14;5-Vendredi;NORMAL;24;5;21;19019.61000000002;19164.42000000003;6476
2024-06-14;5-Vendredi;NORMAL;24;5;22;17968.96999999996;18297.12000000002;5845
2024-06-14;5-Vendredi;NORMAL;24;5;02;2521.49;2691.090000000002;2024
2024-06-14;5-Vendredi;NORMAL;24;5;03;846.669999999999;920.7300000000005;1273
2024-06-15;6-Samedi;SAMEDI;24;6;14;44991.65999999984;44374.08000000002;9436
2024-06-15;6-Samedi;SAMEDI;24;6;15;42067.65000000008;42801.76999999998;9729
2024-06-15;6-Samedi;SAMEDI;24;6;16;41198.54000000009;41121.25000000004;9967
2024-06-15;6-Samedi;SAMEDI;24;6;18;39518.92999999998;40629.7100000001;10036
2024-06-15;6-Samedi;SAMEDI;24;6;09;23013.35999999989;22044.07000000001;7718
2024-06-15;6-Samedi;SAMEDI;24;6;20;22841.08999999999;23602.35999999994;6392
2024-06-15;6-Samedi;SAMEDI;24;6;23;16846.42000000003;17365.19999999998;5666
2024-06-15;6-Samedi;SAMEDI;24;6;07;9628.210000000012;8698.150000000007;7046
2024-06-15;6-Samedi;SAMEDI;24;6;04;1221.019999999999;997.8799999999997;921
2024-06-16;7-Dimanche;DIMANCHE;24;7;17;25644.21;25512.40000000014;6852
2024-06-16;7-Dimanche;DIMANCHE;24;7;16;24415.95999999997;24338.34;6870
2024-06-16;7-Dimanche;DIMANCHE;24;7;18;24318.44999999994;24792.63000000015;6863
2024-06-16;7-Dimanche;DIMANCHE;24;7;14;24226.72000000006;23974.72999999995;6735
2024-06-16;7-Dimanche;DIMANCHE;24;7;15;24173.87999999997;24329.87000000013;6689
2024-06-16;7-Dimanche;DIMANCHE;24;7;13;22392.24000000001;21934.61999999992;6548
2024-06-16;7-Dimanche;DIMANCHE;24;7;07;7350.030000000014;7321.879999999992;4945
2024-06-16;7-Dimanche;DIMANCHE;24;7;00;3193.570000000004;4000.840000000004;3927
2024-06-17;1-Lundi;NORMAL;25;1;08;60231.13999999982;62200.23999999988;14711
2024-06-17;1-Lundi;NORMAL;25;1;11;35515.31000000003;34760.40999999999;10923
2024-06-17;1-Lundi;NORMAL;25;1;23;9835.199999999993;10375.62999999998;5670
2024-06-17;1-Lundi;NORMAL;25;1;00;3582.540000000003;4602.890000000008;4681
2024-06-17;1-Lundi;NORMAL;25;1;-;16.0;29.0;37
2024-06-18;2-Mardi;NORMAL;25;2;08;67585.74999999988;69360.93000000002;14785
2024-06-18;2-Mardi;NORMAL;25;2;18;59846.63999999986;62871.46999999995;15178
2024-06-18;2-Mardi;NORMAL;25;2;07;48463.18999999993;41830.18000000012;14511
2024-06-18;2-Mardi;NORMAL;25;2;09;41670.62999999985;44944.41000000012;12559
2024-06-18;2-Mardi;NORMAL;25;2;19;41415.28999999983;44000.43000000006;12921
2024-06-18;2-Mardi;NORMAL;25;2;10;35592.62999999995;35756.37000000003;10918
2024-06-18;2-Mardi;NORMAL;25;2;21;19338.36999999999;20360.84;6428
2024-06-18;2-Mardi;NORMAL;25;2;06;18349.88999999997;15775.47000000004;10108
2024-06-18;2-Mardi;NORMAL;25;2;05;7627.390000000011;6055.170000000007;6067
2024-06-18;2-Mardi;NORMAL;25;2;;3.07;0.0;2
2024-06-19;3-Mercredi;NORMAL;25;3;16;60247.73000000001;58974.34999999998;14094
2024-06-19;3-Mercredi;NORMAL;25;3;15;50529.08999999984;48968.13999999999;11258
2024-06-19;3-Mercredi;NORMAL;25;3;07;42479.16000000003;36662.51000000016;14441
2024-06-19;3-Mercredi;NORMAL;25;3;11;42390.39999999991;40390.54000000004;10951
2024-06-19;3-Mercredi;NORMAL;25;3;23;17294.33999999995;18020.45000000002;5758
2024-06-19;3-Mercredi;NORMAL;25;3;22;16014.67999999998;16337.32999999999;5797
2024-06-19;3-Mercredi;NORMAL;25;3;01;416.1700000000004;678.5200000000001;431
2024-06-20;4-Jeudi;NORMAL;25;4;15;49654.51999999995;47734.03000000018;11327
2024-06-20;4-Jeudi;NORMAL;25;4;12;45729.51000000009;45768.68000000006;11360
2024-06-20;4-Jeudi;NORMAL;25;4;07;45251.66000000005;38817.8;14476
2024-06-20;4-Jeudi;NORMAL;25;4;13;43857.58000000011;43781.50999999986;11190
2024-06-20;4-Jeudi;NORMAL;25;4;14;40413.20000000001;40128.07000000007;10837
2024-06-20;4-Jeudi;NORMAL;25;4;19;37118.06999999982;40475.49000000014;12891
2024-06-20;4-Jeudi;NORMAL;25;4;00;6085.750000000007;7533.289999999999;4793
2024-06-20;4-Jeudi;NORMAL;25;4;04;1067.86;764.8999999999997;987
2024-06-20;4-Jeudi;NORMAL;25;4;01;422.6199999999999;726.5800000000003;432
2024-06-21;5-Vendredi;NORMAL;25;5;16;63388.85000000003;62025.55999999979;14345
2024-06-21;5-Vendredi;NORMAL;25;5;08;56486.67000000009;57406.77;14711
2024-06-21;5-Vendredi;NORMAL;25;5;12;46658.17999999992;47534.80999999994;11104
2024-06-21;5-Vendredi;NORMAL;25;5;13;46625.64999999997;45665.51999999996;11013
2024-06-21;5-Vendredi;NORMAL;25;5;07;40498.7900000001;35187.03000000004;14390
2024-06-21;5-Vendredi;NORMAL;25;5;20;30154.06999999999;32043.02000000009;9403
2024-06-21;5-Vendredi;NORMAL;25;5;23;18864.99999999999;19453.57000000001;5686
2024-06-21;5-Vendredi;NORMAL;25;5;06;16907.99999999996;14833.84000000001;10077
2024-06-21;5-Vendredi;NORMAL;25;5;;8.76;4.53;4
2024-06-22;6-Samedi;SAMEDI;25;6;12;34658.5;34891.35000000004;8735
2024-06-22;6-Samedi;SAMEDI;25;6;20;22609.4;23077.80999999999;6218
2024-06-22;6-Samedi;SAMEDI;25;6;22;17786.81999999997;17833.84000000003;5647
2024-06-22;6-Samedi;SAMEDI;25;6;23;16005.47000000001;16453.95999999998;5632
2024-06-22;6-Samedi;SAMEDI;25;6;05;4141.600000000011;3707.059999999999;4533
2024-06-22;6-Samedi;SAMEDI;25;6;03;982.6599999999987;1198.570000000002;1236
2024-06-22;6-Samedi;SAMEDI;25;6;;0.0;0.0;1
2024-06-23;7-Dimanche;DIMANCHE;25;7;17;26595.73000000012;26304.29000000004;6677
2024-06-23;7-Dimanche;DIMANCHE;25;7;15;26016.26999999998;25530.48;6647
2024-06-23;7-Dimanche;DIMANCHE;25;7;12;20868.45999999992;20698.47000000002;5875
2024-06-23;7-Dimanche;DIMANCHE;25;7;09;12779.58;11909.12999999996;5370
2024-06-23;7-Dimanche;DIMANCHE;25;7;00;5698.259999999992;7248.790000000001;3929
2024-06-23;7-Dimanche;DIMANCHE;25;7;04;1299.709999999998;1022.799999999999;722
2024-06-23;7-Dimanche;DIMANCHE;25;7;01;299.8500000000001;597.9800000000004;346
2024-06-24;1-Lundi;NORMAL;26;1;17;68906.68999999994;68536.79999999999;15052
2024-06-24;1-Lundi;NORMAL;26;1;13;43673.00999999979;42832.30000000002;11230
2024-06-24;1-Lundi;NORMAL;26;1;12;40479.30000000012;40116.20999999996;11307
2024-06-24;1-Lundi;NORMAL;26;1;19;36449.54000000012;39333.00000000013;12863
2024-06-24;1-Lundi;NORMAL;26;1;11;36441.90000000001;35428.75000000007;10889
2024-06-24;1-Lundi;NORMAL;26;1;09;36035.59999999996;38567.32000000023;12604
2024-06-24;1-Lundi;NORMAL;26;1;06;17817.34999999999;15745.61;10096
2024-06-24;1-Lundi;NORMAL;26;1;21;16454.12999999999;17377.02;6759
2024-06-24;1-Lundi;NORMAL;26;1;00;4706.140000000005;5860.540000000016;4735
2024-06-24;1-Lundi;NORMAL;26;1;04;919.2100000000003;695.6800000000005;984
2024-06-25;2-Mardi;NORMAL;26;2;16;63200.25999999986;60858.20999999993;14217
2024-06-25;2-Mardi;NORMAL;26;2;18;60659.59999999983;63006.92999999993;15292
2024-06-25;2-Mardi;NORMAL;26;2;08;60013.69999999998;60438.40999999991;14526
2024-06-25;2-Mardi;NORMAL;26;2;12;42350.38999999997;42364.59999999999;11384
2024-06-25;2-Mardi;NORMAL;26;2;07;41802.74999999988;36575.74999999997;14310
2024-06-25;2-Mardi;NORMAL;26;2;11;38538.43000000012;37696.89999999998;10978
2024-06-25;2-Mardi;NORMAL;26;2;20;25872.88999999999;27425.62000000002;9460
2024-06-25;2-Mardi;NORMAL;26;2;21;16327.69999999997;16861.08000000002;6711
2024-06-25;2-Mardi;NORMAL;26;2;22;13212.95999999999;13933.39000000002;5754
2024-06-25;2-Mardi;NORMAL;26;2;05;7739.81;6074.43;6077
2024-06-25;2-Mardi;NORMAL;26;2;00;3483.71;4336.479999999999;4760
2024-06-25;2-Mardi;NORMAL;26;2;-;30.0;32.0;48
2024-06-26;3-Mercredi;NORMAL;26;3;18;58770.43999999995;61604.80000000004;15264
2024-06-26;3-Mercredi;NORMAL;26;3;14;47172.61000000006;46664.28000000013;10879
2024-06-26;3-Mercredi;NORMAL;26;3;13;45395.80999999995;45500.41999999993;11088
2024-06-26;3-Mercredi;NORMAL;26;3;07;38583.04;33886.55999999989;14077
2024-06-26;3-Mercredi;NORMAL;26;3;21;17499.61999999997;18174.88000000002;6741
2024-06-26;3-Mercredi;NORMAL;26;3;22;15273.62000000002;15422.71;5807
2024-06-26;3-Mercredi;NORMAL;26;3;05;7208.430000000007;5782.580000000001;6049
2024-06-26;3-Mercredi;NORMAL;26;3;00;4753.560000000007;5884.750000000006;4782
2024-06-27;4-Jeudi;NORMAL;26;4;17;75740.00999999995;74382.92000000023;15074
2024-06-27;4-Jeudi;NORMAL;26;4;07;40702.00999999992;35767.49999999999;14447
2024-06-27;4-Jeudi;NORMAL;26;4;11;39979.2;39240.75999999983;10932
2024-06-27;4-Jeudi;NORMAL;26;4;19;36825.69999999997;40274.0800000001;12911
2024-06-27;4-Jeudi;NORMAL;26;4;06;17804.22999999996;15520.60999999999;10115
2024-06-27;4-Jeudi;NORMAL;26;4;22;17125.54000000001;17469.23;5800
2024-06-27;4-Jeudi;NORMAL;26;4;01;400.2799999999999;650.8999999999996;426
2024-06-27;4-Jeudi;NORMAL;26;4;;20.11;43.08;7
2024-06-28;5-Vendredi;NORMAL;26;5;08;48722.30999999987;49480.53999999996;14697
2024-06-28;5-Vendredi;NORMAL;26;5;09;37546.58000000002;39050.59999999997;12650
2024-06-28;5-Vendredi;NORMAL;26;5;07;36548.62000000002;32169.86999999987;14402
2024-06-28;5-Vendredi;NORMAL;26;5;10;35474.60999999991;35894.86000000007;10931
2024-06-28;5-Vendredi;NORMAL;26;5;23;14598.75000000001;15267.02999999999;5675
2024-06-28;5-Vendredi;NORMAL;26;5;03;861.3299999999997;1036.969999999999;1267
2024-06-29;6-Samedi;SAMEDI;26;6;13;34470.34999999989;33856.3400000001;9214
2024-06-29;6-Samedi;SAMEDI;26;6;12;33318.83000000003;33199.93000000011;8874
2024-06-29;6-Samedi;SAMEDI;26;6;17;33035.10000000014;32909.11000000007;9790
2024-06-29;6-Samedi;SAMEDI;26;6;15;32392.69999999995;32169.75000000004;9740
2024-06-29;6-Samedi;SAMEDI;26;6;11;30878.94999999993;30527.93999999997;7876
2024-06-29;6-Samedi;SAMEDI;26;6;09;23340.56999999993;22452.23;7490
2024-06-29;6-Samedi;SAMEDI;26;6;20;16508.52999999993;16854.73000000001;6294
2024-06-29;6-Samedi;SAMEDI;26;6;22;10671.25999999999;11015.12000000001;5753
2024-06-29;6-Samedi;SAMEDI;26;6;23;10632.69000000003;10917.69999999997;5714
2024-06-29;6-Samedi;SAMEDI;26;6;07;9494.810000000054;8757.710000000017;6898
2024-06-30;7-Dimanche;DIMANCHE;26;7;15;21260.98;20995.31000000009;6850
2024-06-30;7-Dimanche;DIMANCHE;26;7;10;14363.94999999999;14300.85999999998;5647
2024-06-30;7-Dimanche;DIMANCHE;26;7;22;10384.55000000002;10683.17999999997;4732
2024-06-30;7-Dimanche;DIMANCHE;26;7;;0.0;0.0;1
2024-05-01;3-Mercredi;NORMAL;18;3;16;49090.5299999999;48390.02000000003;13512
2024-05-01;3-Mercredi;NORMAL;18;3;13;40363.8099999999;41438.17000000003;10446
2024-05-01;3-Mercredi;NORMAL;18;3;10;28510.26999999987;28600.32000000008;10839
2024-05-01;3-Mercredi;NORMAL;18;3;06;10439.39;9000.04000000002;9959
2024-05-01;3-Mercredi;NORMAL;18;3;00;2735.780000000002;3423.330000000001;4641
2024-05-02;4-Jeudi;NORMAL;18;4;11;44106.95000000006;41631.36000000001;10758
2024-05-02;4-Jeudi;NORMAL;18;4;14;39629.16000000005;39809.68000000008;10826
2024-05-02;4-Jeudi;NORMAL;18;4;10;35436.28000000002;36202.58999999991;10624
2024-05-02;4-Jeudi;NORMAL;18;4;06;18511.91999999997;15779.93999999999;9937
2024-05-02;4-Jeudi;NORMAL;18;4;22;13476.40000000003;14480.55999999999;5755
2024-05-02;4-Jeudi;NORMAL;18;4;23;7995.679999999989;8554.959999999986;5644
2024-05-02;4-Jeudi;NORMAL;18;4;04;745.49;496.36;987
2024-05-03;5-Vendredi;NORMAL;18;5;12;51675.62000000002;52230.15000000002;11445
2024-05-03;5-Vendredi;NORMAL;18;5;13;51088.7;51311.64000000005;11256
2024-05-03;5-Vendredi;NORMAL;18;5;09;39710.40000000012;41480.75999999983;12509
2024-05-03;5-Vendredi;NORMAL;18;5;20;25951.86999999995;27824.29000000007;9345
2024-05-03;5-Vendredi;NORMAL;18;5;00;7241.130000000007;8302.680000000004;4910
2024-05-03;5-Vendredi;NORMAL;18;5;03;998.1399999999991;1154.289999999998;1251
2024-05-03;5-Vendredi;NORMAL;18;5;-;24.0;20.0;35
2024-05-04;6-Samedi;SAMEDI;18;6;10;28924.53000000007;28200.97000000007;7685
2024-05-04;6-Samedi;SAMEDI;18;6;08;16901.39999999999;15796.07000000003;7312
2024-05-04;6-Samedi;SAMEDI;18;6;22;16762.38000000001;17172.31;5696
2024-05-04;6-Samedi;SAMEDI;18;6;23;13706.94;14539.14000000002;5576
2024-05-04;6-Samedi;SAMEDI;18;6;04;1101.589999999999;904.7700000000008;940
2024-05-05;7-Dimanche;DIMANCHE;18;7;16;26357.30999999995;26143.83999999997;6582
2024-05-05;7-Dimanche;DIMANCHE;18;7;12;20946.85000000002;20403.01;5543
2024-05-05;7-Dimanche;DIMANCHE;18;7;20;14368.84999999994;15030.99000000006;5695
2024-05-05;7-Dimanche;DIMANCHE;18;7;09;13426.18000000001;12542.77999999998;5171
2024-05-05;7-Dimanche;DIMANCHE;18;7;06;5424.30000000001;4651.709999999995;4620
2024-05-05;7-Dimanche;DIMANCHE;18;7;00;2229.47;2810.059999999997;3937
2024-05-05;7-Dimanche;DIMANCHE;18;7;04;1054.07;886.15;707
2024-05-05;7-Dimanche;DIMANCHE;18;7;01;186.16;314.9599999999999;343
2024-05-06;1-Lundi;NORMAL;19;1;17;78185.36000000004;79010.93999999997;15032
2024-05-06;1-Lundi;NORMAL;19;1;08;74084.75999999978;78127.23999999985;14532
2024-05-06;1-Lundi;NORMAL;19;1;16;70571.71;65985.02999999984;14272
2024-05-06;1-Lundi;NORMAL;19;1;07;60316.91999999995;52021.40999999997;14314
2024-05-06;1-Lundi;NORMAL;19;1;18;58839.21000000014;62586.21000000006;15187
2024-05-06;1-Lundi;NORMAL;19;1;12;50661.14000000006;50777.27000000003;11395
2024-05-06;1-Lundi;NORMAL;19;1;15;46670.62;44989.47000000014;11390
2024-05-06;1-Lundi;NORMAL;19;1;09;40436.13000000005;43447.18000000008;12503
2024-05-06;1-Lundi;NORMAL;19;1;06;18439.0;15516.39999999997;10004
2024-05-06;1-Lundi;NORMAL;19;1;00;2267.380000000004;2825.809999999995;4688
2024-05-07;2-Mardi;NORMAL;19;2;13;49827.01000000018;50583.46000000002;11291
2024-05-07;2-Mardi;NORMAL;19;2;11;41202.2099999999;38969.79000000001;10875
2024-05-07;2-Mardi;NORMAL;19;2;20;22767.39999999997;24608.76000000003;9235
2024-05-07;2-Mardi;NORMAL;19;2;-;25.0;32.0;47
2024-05-08;3-Mercredi;NORMAL;19;3;17;74754.2100000001;74755.56000000014;14731
2024-05-08;3-Mercredi;NORMAL;19;3;15;54368.13;52950.92000000004;11243
2024-05-08;3-Mercredi;NORMAL;19;3;07;51976.43999999989;44689.85000000006;14386
2024-05-08;3-Mercredi;NORMAL;19;3;14;49610.52999999991;49380.29999999999;10869
2024-05-08;3-Mercredi;NORMAL;19;3;11;46549.22;43006.78999999999;10689
2024-05-08;3-Mercredi;NORMAL;19;3;09;40225.76999999988;42046.44000000016;12515
2024-05-08;3-Mercredi;NORMAL;19;3;19;39276.41999999996;42488.1200000001;11616
